YEAR,TRI_FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FACILITY,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER
2014,07095LCNBL11CRA,GENTEK BUILDING PRODUCTS,11 CRAGWOOD RD,AVENEL,MIDDLESEX,NJ,7001,,,40.595252,-74.254772,NO,,,,,,,332812,332322,,,,,1.31E+12,MANGANESE COMPOUNDS,N450,YES,TRI,YES,1,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.92,ASSOCIATED MATERIALS INC,107301319
2014,07036CTGPT4801S,CITGO PETROLEUM CORP,4801 S WOOD AVE,LINDEN,UNION,NJ,70366543,,,40.600922,-74.209522,NO,,,,,,,424710,,,,,,1.31E+12,NAPHTHALENE,91203,YES,TRI,NO,0,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,4,0,2,0,0,0,0,2,2,0,0,0,0,2,0,4,0,0,0,2,8,0,1.22,PDV AMERICA INC,858706773
2014,07095LCNBL11CRA,GENTEK BUILDING PRODUCTS,11 CRAGWOOD RD,AVENEL,MIDDLESEX,NJ,7001,,,40.595252,-74.254772,NO,,,,,,,332812,332322,,,,,1.31E+12,XYLENE (MIXED ISOMERS),1330207,YES,TRI,NO,0,NO,R,Pounds,320,766,0,0,0,0,0,0,0,0,0,0,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3424,3424,0,0,0,0,0,0,0,1086,0,0,1086,0,0,0,3424,0,0,70739,0,75249,,0.92,ASSOCIATED MATERIALS INC,107301319
2014,08859HRCLSSOUTH,ASHLAND SPECIALTY INGREDIENTS (PARLIN PLANT),50 S MINISINK AVE,PARLIN,MIDDLESEX,NJ,8859,,,40.458611,-74.3375,NO,,,,,,,325199,,,,,,1.31E+12,NITRIC ACID,7697372,NO,TRI,NO,0,NO,R,Pounds,92,360,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,452,0,0,0,0,0,0,0,0,452,,1.12,ASHLAND INC,5003264
2014,07036CTGPT4801S,CITGO PETROLEUM CORP,4801 S WOOD AVE,LINDEN,UNION,NJ,70366543,,,40.600922,-74.209522,NO,,,,,,,424710,,,,,,1.31E+12,N-HEXANE,110543,YES,TRI,NO,0,NO,R,Pounds,375,1954,0,0,0,0,0,0,0,0,0,0,2329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,2329,0,0,2329,0,0,0,19,0,0,32266,0,34614,0,0.37,PDV AMERICA INC,858706773
2014,08701LPHSS145LE,ALPHA ASSOCIATES INC,145 LEHIGH AVE,LAKEWOOD,OCEAN,NJ,8701,,,40.07484,-74.17057,NO,,,,,,,313320,,,,,,1.31E+12,TOLUENE,108883,YES,TRI,NO,0,NO,R,Pounds,0,3287,0,0,0,0,0,0,0,0,0,0,3287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3117,3117,0,0,0,0,0,0,0,3287,0,0,3287,0,0,0,3117,0,0,48132,0,54536,,1.03,NA,NA
2014,08077HGNSCRIVER,HOEGANAES CORP,1001 TAYLORS LN,CINNAMINSON,BURLINGTON,NJ,8077,,,40.02229,-74.989799,NO,,,,,,,331110,,,,,,1.31E+12,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,TRI,YES,1,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GKN N.A. INC,71754337
2014,08067THBFGUSROU,LUBRIZOL CORP,76 PORCUPINE RD,PEDRICKTOWN,SALEM,NJ,80673509,,,39.763889,-75.422778,NO,,,,,,,325211,,,,,,1.31E+12,BUTYL ACRYLATE,141322,NO,TRI,NO,0,NO,R,Pounds,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,0,2664,0,0,3513,19,0,0,19,0,0,0,0,0,0,0,3513,3532,,1.05,BERKSHIRE HATHAWAY,1024314
2014,08067THBFGUSROU,LUBRIZOL CORP,76 PORCUPINE RD,PEDRICKTOWN,SALEM,NJ,80673509,,,39.763889,-75.422778,NO,,,,,,,325211,,,,,,1.31E+12,N-METHYLOLACRYLAMIDE,924425,NO,TRI,NO,0,NO,R,Pounds,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,404,0,0,431,7,0,0,7,0,0,0,0,0,0,0,431,438,,1.03,BERKSHIRE HATHAWAY,1024314
2014,0774WMNMTH75LNG,MONMOUTH RUBBER & PLASTICS CORP,75 LONG BRANCH AVE,LONG BRANCH,MONMOUTH,NJ,7740,,,40.30767,-73.98288,NO,,,,,,,326299,,,,,,1.31E+12,DIISOCYANATES,N120,YES,TRI,NO,0,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.79,NA,NA
2014,07105NWRKT909DE,MOTIVA NEWARK TERMINAL,909 DELANCY ST,NEWARK,ESSEX,NJ,7105,,,40.709032,-74.128966,NO,,,,,,,424710,,,,,,1.31E+12,ETHYLBENZENE,100414,YES,TRI,NO,0,NO,R,Pounds,540,25,0,0,0,0,0,0,0,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,0,565,0,0,0,0,0,0,0,0,565,,0.97,MOTIVA ENTERPRISES LLC,23838670
2014,07036XXNCH1400P,INFINEUM USA LP-BAYWAY CHEMICAL PLANT,CORNER OF PARK & BRUNSWICK AVENUES,LINDEN,UNION,NJ,70360023,,,40.636395,-74.220393,NO,,,,,,,325199,,,,,,1.31E+12,SEC-BUTYL ALCOHOL,78922,NO,TRI,NO,0,NO,R,Pounds,561,8094,1497,0,0,0,0,0,0,0,0,0,10152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878496,0,878496,0,0,0,395084,0,0,395084,10152,0,0,10152,0,0,0,878496,0,0,15582,395084,1299314,,0.95,INFINEUM USA L.P.,32105889
2014,08903KZCHM500JE,AKCROS CHEMICALS INC,500 JERSEY AVE,NEW BRUNSWICK,MIDDLESEX,NJ,89013502,,,40.47998,-74.46813,NO,,,,,,,325199,325510,,,,,1.31E+12,NITRIC ACID,7697372,NO,TRI,NO,0,NO,R,Pounds,0,94,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,94,0,0,0,0,0,0,0,0,94,,1.5,NA,NA
2014,07080TVCNC110PM,TEVCO ENTERPRISES INC,110 POMPONIO AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,,,40.569118,-74.426345,NO,,,,,,,325620,,,,,,1.31E+12,N-BUTYL ALCOHOL,71363,NO,TRI,NO,0,NO,R,Pounds,5,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,250,0,0,0,0,0,0,0,10,0,0,10,0,0,0,250,0,0,0,0,260,,0.93,KNE HOLDINGS INC.,NA
2014,08859HRCLSSOUTH,ASHLAND SPECIALTY INGREDIENTS (PARLIN PLANT),50 S MINISINK AVE,PARLIN,MIDDLESEX,NJ,8859,,,40.458611,-74.3375,NO,,,,,,,325199,,,,,,1.31E+12,ETHYLENE OXIDE,75218,YES,TRI,NO,0,YES,R,Pounds,624,86.4,0,0,0,0,0,0,0,0,0,0,710.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710.4,0,0,700.4,0,0,0,0,0,0,0,0,700.4,10,1.12,ASHLAND INC,5003264
2014,07801HWMTCROYST,HOWMET CASTINGS & SERVICES,9 ROY ST,ROCKAWAY,MORRIS,NJ,7801,,,40.881939,-74.532387,NO,,,,,,,336412,,,,,,1.31E+12,CHROMIUM,7440473,YES,TRI,YES,1,YES,R,Pounds,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156117,0,0,0,156117,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,74589,156117,0,0,230706.2,,1,ALCOA INC,1339472
2014,07105CRDLT500DO,CARDOLITE CORP,500 DOREMUS AVE,NEWARK,ESSEX,NJ,7105,,,40.715833,-74.125833,NO,,,,,,,325211,,,,,,1.31E+12,N-BUTYL ALCOHOL,71363,NO,TRI,NO,0,NO,R,Pounds,100,700,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3383,0,3383,0,0,0,0,0,0,0,800,0,0,800,0,0,0,3383,0,0,0,0,4183,,0.4,NA,NA
2014,07001PRDSL211RA,PRIDE SOLVENTS & CHEMICAL CO OF NEW JERSEY,211 RANDOLPH AVE,AVENEL,MIDDLESEX,NJ,7001,,,40.59668,-74.25741,NO,,,,,,,424690,,,,,,1.31E+12,DI(2-ETHYLHEXYL) PHTHALATE,117817,YES,TRI,NO,0,YES,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIDE SOLVENTS & CHEMICAL CO,NA
2014,07001PRDSL211RA,PRIDE SOLVENTS & CHEMICAL CO OF NEW JERSEY,211 RANDOLPH AVE,AVENEL,MIDDLESEX,NJ,7001,,,40.59668,-74.25741,NO,,,,,,,424690,,,,,,1.31E+12,"N,N-DIMETHYLFORMAMIDE",68122,YES,TRI,NO,0,YES,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIDE SOLVENTS & CHEMICAL CO,NA
